P,urn:jaxa:darts:context:instrument:dcam3.dcam3-a::1.2
P,urn:jaxa:darts:context:instrument:dcam3.dcam3-d::1.2
P,urn:jaxa:darts:context:instrument:hyb2.cam-h::1.2
P,urn:jaxa:darts:context:instrument:hyb2.lidar::1.2
P,urn:jaxa:darts:context:instrument:hyb2.nirs3::1.2
P,urn:jaxa:darts:context:instrument:hyb2.onc::1.2
P,urn:jaxa:darts:context:instrument:hyb2.sci::1.2
P,urn:jaxa:darts:context:instrument:hyb2.tir::1.2
P,urn:jaxa:darts:context:instrument:mascot.mara::1.2
P,urn:jaxa:darts:context:instrument:mascot.mascam::1.2
P,urn:jaxa:darts:context:instrument:mascot.masmag::1.2
P,urn:jaxa:darts:context:instrument:mascot.mbus::1.2
P,urn:jaxa:darts:context:instrument:mascot.micromega::1.2
P,urn:jaxa:darts:context:instrument:slim.cam::1.0
P,urn:jaxa:darts:context:instrument:slim.mbc::1.0
P,urn:jaxa:darts:context:instrument:vco.ir1::1.3
P,urn:jaxa:darts:context:instrument:vco.ir2::1.3
P,urn:jaxa:darts:context:instrument:vco.lac::1.3
P,urn:jaxa:darts:context:instrument:vco.lir::1.3
P,urn:jaxa:darts:context:instrument:vco.rss::1.3
P,urn:jaxa:darts:context:instrument:vco.uvi::1.3
